indicator,date,rate
high,2021-02-26 16:05:00,680.0
low,2021-02-26 16:05:00,671.01
close,2021-02-26 16:05:00,676.0
open,2021-02-26 16:00:00,679.2
high,2021-02-26 16:00:00,680.38
low,2021-02-26 16:00:00,670.6
close,2021-02-26 16:00:00,671.01
open,2021-02-26 15:55:00,688.27
high,2021-02-26 15:55:00,688.27
low,2021-02-26 15:55:00,679.0
close,2021-02-26 15:55:00,679.04
open,2021-02-26 15:50:00,683.61
high,2021-02-26 15:50:00,689.07
low,2021-02-26 15:50:00,683.44
close,2021-02-26 15:50:00,688.69
open,2021-02-26 15:45:00,680.701
high,2021-02-26 15:45:00,685.27
low,2021-02-26 15:45:00,680.12
close,2021-02-26 15:45:00,683.61
open,2021-02-26 15:40:00,679.89
high,2021-02-26 15:40:00,681.58
low,2021-02-26 15:40:00,678.41
close,2021-02-26 15:40:00,680.88
open,2021-02-26 15:35:00,678.24
high,2021-02-26 15:35:00,681.01
low,2021-02-26 15:35:00,677.89
close,2021-02-26 15:35:00,680.0
open,2021-02-26 15:30:00,681.0699
high,2021-02-26 15:30:00,681.0699
low,2021-02-26 15:30:00,677.97
close,2021-02-26 15:30:00,678.0235
open,2021-02-26 15:25:00,685.19
high,2021-02-26 15:25:00,685.23
low,2021-02-26 15:25:00,680.71
close,2021-02-26 15:25:00,681.12
open,2021-02-26 15:20:00,683.84
high,2021-02-26 15:20:00,686.1999
low,2021-02-26 15:20:00,683.56
close,2021-02-26 15:20:00,685.25
open,2021-02-26 15:15:00,686.835
high,2021-02-26 15:15:00,687.31
low,2021-02-26 15:15:00,683.2901
close,2021-02-26 15:15:00,683.6696
open,2021-02-26 15:10:00,683.85
high,2021-02-26 15:10:00,687.0
low,2021-02-26 15:10:00,682.6101
close,2021-02-26 15:10:00,687.0
open,2021-02-26 15:05:00,680.7
high,2021-02-26 15:05:00,684.15
low,2021-02-26 15:05:00,680.7
close,2021-02-26 15:05:00,683.76
open,2021-02-26 15:00:00,680.99
high,2021-02-26 15:00:00,682.0
low,2021-02-26 15:00:00,678.76
close,2021-02-26 15:00:00,680.585
open,2021-02-26 14:55:00,682.05
high,2021-02-26 14:55:00,682.7
low,2021-02-26 14:55:00,680.14
close,2021-02-26 14:55:00,680.84
open,2021-02-26 14:50:00,679.295
high,2021-02-26 14:50:00,683.88
low,2021-02-26 14:50:00,678.16
close,2021-02-26 14:50:00,682.26
open,2021-02-26 14:45:00,681.24
high,2021-02-26 14:45:00,682.52
low,2021-02-26 14:45:00,678.14
close,2021-02-26 14:45:00,679.145
open,2021-02-26 14:40:00,682.18
high,2021-02-26 14:40:00,683.36
low,2021-02-26 14:40:00,680.43
close,2021-02-26 14:40:00,681.24
open,2021-02-26 14:35:00,677.8
high,2021-02-26 14:35:00,682.255
low,2021-02-26 14:35:00,677.02
close,2021-02-26 14:35:00,682.015
open,2021-02-26 14:30:00,673.23
high,2021-02-26 14:30:00,678.37
low,2021-02-26 14:30:00,673.1599
close,2021-02-26 14:30:00,678.0987
open,2021-02-26 14:25:00,672.3453
high,2021-02-26 14:25:00,675.36
low,2021-02-26 14:25:00,670.71
close,2021-02-26 14:25:00,673.13
open,2021-02-26 14:20:00,675.7649
high,2021-02-26 14:20:00,676.84
low,2021-02-26 14:20:00,671.6
close,2021-02-26 14:20:00,672.28
open,2021-02-26 14:15:00,672.28
high,2021-02-26 14:15:00,676.39
low,2021-02-26 14:15:00,672.11
close,2021-02-26 14:15:00,675.85
open,2021-02-26 14:10:00,675.05
high,2021-02-26 14:10:00,675.6315
low,2021-02-26 14:10:00,671.6
close,2021-02-26 14:10:00,672.79
open,2021-02-26 14:05:00,674.97
high,2021-02-26 14:05:00,678.345
low,2021-02-26 14:05:00,674.25
close,2021-02-26 14:05:00,674.6613
open,2021-02-26 14:00:00,674.76
high,2021-02-26 14:00:00,678.4599
low,2021-02-26 14:00:00,674.23
close,2021-02-26 14:00:00,674.99
open,2021-02-26 13:55:00,676.27
high,2021-02-26 13:55:00,676.63
low,2021-02-26 13:55:00,673.58
close,2021-02-26 13:55:00,674.86
open,2021-02-26 13:50:00,679.365
high,2021-02-26 13:50:00,681.1156
low,2021-02-26 13:50:00,674.8
close,2021-02-26 13:50:00,676.5099
open,2021-02-26 13:45:00,676.0
high,2021-02-26 13:45:00,679.4299
low,2021-02-26 13:45:00,674.89
close,2021-02-26 13:45:00,679.164
open,2021-02-26 13:40:00,678.52
high,2021-02-26 13:40:00,678.71
low,2021-02-26 13:40:00,674.23
close,2021-02-26 13:40:00,676.1986
open,2021-02-26 13:35:00,682.59
high,2021-02-26 13:35:00,683.2
low,2021-02-26 13:35:00,676.66
close,2021-02-26 13:35:00,678.395
open,2021-02-26 13:30:00,682.86
high,2021-02-26 13:30:00,684.23
low,2021-02-26 13:30:00,682.05
close,2021-02-26 13:30:00,682.56
open,2021-02-26 13:25:00,680.75
high,2021-02-26 13:25:00,684.0
low,2021-02-26 13:25:00,680.7476
close,2021-02-26 13:25:00,682.78
open,2021-02-26 13:20:00,678.2
high,2021-02-26 13:20:00,681.42
low,2021-02-26 13:20:00,677.35
close,2021-02-26 13:20:00,680.985
open,2021-02-26 13:15:00,680.7
high,2021-02-26 13:15:00,681.35
low,2021-02-26 13:15:00,677.15
close,2021-02-26 13:15:00,677.98
open,2021-02-26 13:10:00,678.51
high,2021-02-26 13:10:00,681.655
low,2021-02-26 13:10:00,676.3842
close,2021-02-26 13:10:00,680.9799
open,2021-02-26 13:05:00,679.66
high,2021-02-26 13:05:00,680.67
low,2021-02-26 13:05:00,675.81
close,2021-02-26 13:05:00,678.8899
open,2021-02-26 13:00:00,684.03
high,2021-02-26 13:00:00,684.2
low,2021-02-26 13:00:00,677.73
close,2021-02-26 13:00:00,679.535
open,2021-02-26 12:55:00,684.0
high,2021-02-26 12:55:00,687.4
low,2021-02-26 12:55:00,682.94
close,2021-02-26 12:55:00,684.25
open,2021-02-26 12:50:00,683.141
high,2021-02-26 12:50:00,685.32
low,2021-02-26 12:50:00,681.37
close,2021-02-26 12:50:00,684.09
open,2021-02-26 12:45:00,686.21
high,2021-02-26 12:45:00,686.21
low,2021-02-26 12:45:00,682.2818
close,2021-02-26 12:45:00,683.3324
open,2021-02-26 12:40:00,688.36
high,2021-02-26 12:40:00,689.82
low,2021-02-26 12:40:00,685.27
close,2021-02-26 12:40:00,686.02
open,2021-02-26 12:35:00,688.66
high,2021-02-26 12:35:00,691.16
low,2021-02-26 12:35:00,687.8
close,2021-02-26 12:35:00,688.5
open,2021-02-26 12:30:00,692.0
high,2021-02-26 12:30:00,692.5
low,2021-02-26 12:30:00,686.75
close,2021-02-26 12:30:00,688.495
open,2021-02-26 12:25:00,693.21
high,2021-02-26 12:25:00,693.55
low,2021-02-26 12:25:00,690.51
close,2021-02-26 12:25:00,691.9
open,2021-02-26 12:20:00,695.1499
high,2021-02-26 12:20:00,696.55
low,2021-02-26 12:20:00,693.1356
close,2021-02-26 12:20:00,693.189
open,2021-02-26 12:15:00,693.61
high,2021-02-26 12:15:00,695.94
low,2021-02-26 12:15:00,692.16
close,2021-02-26 12:15:00,694.8553
open,2021-02-26 12:10:00,690.0
high,2021-02-26 12:10:00,694.24
low,2021-02-26 12:10:00,687.0
close,2021-02-26 12:10:00,693.67
open,2021-02-26 12:05:00,689.48
high,2021-02-26 12:05:00,691.51
low,2021-02-26 12:05:00,688.3
close,2021-02-26 12:05:00,690.565
open,2021-02-26 12:00:00,686.29
high,2021-02-26 12:00:00,689.53
low,2021-02-26 12:00:00,685.24
close,2021-02-26 12:00:00,689.4469
open,2021-02-26 11:55:00,690.5755
high,2021-02-26 11:55:00,690.8795
low,2021-02-26 11:55:00,685.7
close,2021-02-26 11:55:00,686.685
open,2021-02-26 11:50:00,689.18
high,2021-02-26 11:50:00,690.67
low,2021-02-26 11:50:00,686.26
close,2021-02-26 11:50:00,690.552
open,2021-02-26 11:45:00,692.42
high,2021-02-26 11:45:00,692.76
low,2021-02-26 11:45:00,688.13
close,2021-02-26 11:45:00,689.245
